Response ID,Include/Exclude,Date submitted,Last page,Start language,Date started,Date last action,What is your primary specialty-,What is your primary specialty- [Other],What is your rank-,What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.),What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.) [Other],How would you describe your current billet-,How would you describe your current billet- [Other],"For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS-","For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS- [Other]","On a scale of 1 to 5, with 1 being not transparent and 5 being very transparent, how would you rate the transparency of your detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 being unsatisfied and 5 being very satisfied, how would you rate your overall detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 representing a significant problem and 5 being not a problem at all, how would you rank the problem of favoritism in the billet assignment process-",Describe your current assignment:,"Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 1]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 2]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 3]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 4]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 5]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 6]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 7]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 8]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 9]",Which career path do you want to pursue in the next 5-10  years-,Which career path do you want to pursue in the next 5-10  years- [Other],"Neither the Army nor the Air Force have physicians in the detailer role.  Instead, they have nurses or medical administrators work with specialty leaders to determine assigments.  This is different from the current Navy Medical Corps billet assignment process where the detailer is a physician*.  Would you approve if the detailer position was filled by a non-physician-",How long should an individual be allowed to remain at one command-,"Do you think that there is a problem in the Medical Corps with members not moving-  That is, are there too many physicians who get to stay in one place too long-","Civilian medical residency positions are assigned using the National Residency Match Program where members submit a preference list, residency directors submit a preference list, and a computer algorithm optimizes a match.  This is different from the current Navy Medical Corps billet assignment process where the detailer and specialty leader take input from medical officers and then make a decision.  Of these two options, which would you prefer for your military billet assignment-","The later the match day, the more information one has before creating their rank list.  The earlier the match day, the sooner one can have certainty and prepare.  Assuming your were scheduled to execute new orders in July of 2017, what month would you want the match to occur in-",Do you think members who are coming from operational or OCONUS assignments should be given preference in billet assignment-,Do you think members with more seniority (as defined by time in service or rank) should be given preference in billet assignment-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,I,8/23/16 10:52,4,en,8/23/16 10:43,8/23/16 10:52,Family Medicine,,CDR,2015,,CONUS MTF,,2-4 months,,5,5,5,1st choice,"Southeast (North Carolina, Florida)",Southern California,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Northeast,Europe,Middle East or Africa,Academic Medicine,,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,I,8/23/16 10:49,4,en,8/23/16 10:43,8/23/16 10:49,Family Medicine,,LT,2014,,GME,,Other,GME,4,,4,1st choice,Europe,"Pacific (Hawaii, Guam, Japan)",Northeast,National Capital Region,Pacific Northwest,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Southern California,Middle East or Africa,Clinical Medicine,,No,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Nov-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,I,8/23/16 11:06,4,en,8/23/16 10:46,8/23/16 11:06,Family Medicine,,LT,2016,,CONUS MTF,,2-4 months,,1,1,2,> 4th choice,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,"Southeast (North Carolina, Florida)",Middle East or Africa,Northeast,National Capital Region,Academic Medicine,,No,Other,No,Other,Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,I,8/23/16 11:00,4,en,8/23/16 10:54,8/23/16 11:00,Family Medicine,,CDR,2016,,CONUS Operational,,2-4 months,,2,4,2,1st choice,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Southeast (North Carolina, Florida)",Pacific Northwest,Southern California,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Executive Medicine,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,I,8/23/16 12:26,4,en,8/23/16 10:57,8/23/16 12:26,Family Medicine,,CAPT or Flag,2014,,CONUS MTF,,2-4 months,,4,4,4,Other,National Capital Region,"Southeast (North Carolina, Florida)",Northeast,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",Europe,Pacific Northwest,Middle East or Africa,Southern California,Executive Medicine,,Yes,Other,Other,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,I,8/23/16 11:07,4,en,8/23/16 10:59,8/23/16 11:07,Family Medicine,,CAPT or Flag,2015,,CONUS Operational,,2-4 months,,1,3,1,> 4th choice,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Europe,Southern California,Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,Middle East or Africa,Resign/Retire,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,I,8/23/16 11:25,4,en,8/23/16 11:07,8/23/16 11:25,Family Medicine,,CDR,2016,,CONUS MTF,,< 1 month,,5,4,5,1st choice,"Southeast (North Carolina, Florida)",National Capital Region,"Pacific (Hawaii, Guam, Japan)",Southern California,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,Europe,Middle East or Africa,Resign/Retire,,No,2 tours (~6 years),Yes,Other,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,I,8/23/16 11:18,4,en,8/23/16 11:09,8/23/16 11:18,Anesthesiology,,CDR,2016,,OCONUS MTF,,2-4 months,,4,5,4,Other,Pacific Northwest,Southern California,Europe,Northeast,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,National Capital Region,Mixed,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,I,8/23/16 11:15,4,en,8/23/16 11:10,8/23/16 11:15,Radiology,,LCDR,2016,,CONUS MTF,,2-4 months,,5,5,1,1st choice,Southern California,Northeast,Pacific Northwest,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Clinical Medicine,,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jun-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,I,8/23/16 11:19,4,en,8/23/16 11:10,8/23/16 11:19,Dermatology,,LCDR,2014,,CONUS MTF,,2-4 months,,3,5,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Pacific Northwest,Northeast,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,National Capital Region,Middle East or Africa,Resign/Retire,,Do not care,3 tours (~9 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,I,8/23/16 11:20,4,en,8/23/16 11:12,8/23/16 11:20,Family Medicine,,CDR,2013,,Non-Operational/Non-Clinical,,> 4 months,,5,5,5,1st choice,"Southeast (North Carolina, Florida)",Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",Northeast,Europe,National Capital Region,Middle East or Africa,Undecided,,No,4 tours (~12 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,I,,3,en,8/23/16 11:13,8/23/16 12:29,Radiology,,CDR,2014,,CONUS MTF,,2-4 months,,3,3,2,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Northeast,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Europe,National Capital Region,Southern California,Middle East or Africa,Executive Medicine,,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Jul-16,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1199,I,9/12/16 11:42,4,en,9/12/16 11:26,9/12/16 11:42,Aviation Medicine (Flight Surgery GMO),,LT,2014,,CONUS Operational,,< 1 month,,4,4,4,2nd choice,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,"Southeast (North Carolina, Florida)",Pacific Northwest,Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Clinical Medicine,,No,1 tour (~3 years),No,Something similar to the National Residency Match Program,Mar-17,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,I,8/23/16 11:30,4,en,8/23/16 11:23,8/23/16 11:30,Ophthalmology,,CAPT or Flag,2014,,CONUS Operational,,< 1 month,,4,4,5,1st choice,"Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",Southern California,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,Europe,Northeast,National Capital Region,Middle East or Africa,Clinical Medicine,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Nov-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,I,8/23/16 11:40,4,en,8/23/16 11:34,8/23/16 11:40,Family Medicine,,CDR,2015,,CONUS MTF,,2-4 months,,5,5,5,1st choice,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Europe,Southern California,Northeast,"Southeast (North Carolina, Florida)",Pacific Northwest,Middle East or Africa,Clinical Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,I,8/23/16 12:15,4,en,8/23/16 11:39,8/23/16 12:15,Family Medicine,,CDR,2016,,OCONUS MTF,,< 1 month,,4,5,5,1st choice,Europe,Middle East or Africa,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,National Capital Region,Southern California,Northeast,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Executive Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jul-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,I,8/23/16 12:14,4,en,8/23/16 11:54,8/23/16 12:14,Dermatology,,CDR,2015,,GME,,2-4 months,,4,5,4,1st choice,"Pacific (Hawaii, Guam, Japan)",Europe,Southern California,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Southeast (North Carolina, Florida)",National Capital Region,Middle East or Africa,Academic Medicine,,Do not care,3 tours (~9 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,I,8/23/16 12:15,4,en,8/23/16 12:03,8/23/16 12:15,Radiology,,CDR,2013,,CONUS MTF,,2-4 months,,3,4,3,2nd choice,Southern California,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Europe,National Capital Region,Northeast,Pacific Northwest,Middle East or Africa,Academic Medicine,,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jun-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,I,8/23/16 12:17,4,en,8/23/16 12:09,8/23/16 12:17,Family Medicine,,LCDR,2015,,GME,,2-4 months,,5,5,1,1st choice,Europe,Middle East or Africa,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Northeast,Pacific Northwest,Southern California,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Operational Medicine,,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,I,8/23/16 12:19,4,en,8/23/16 12:12,8/23/16 12:19,Radiology,,LCDR,2015,,CONUS MTF,,2-4 months,,1,2,2,2nd choice,Northeast,Pacific Northwest,Europe,"Southeast (North Carolina, Florida)",National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Southern California,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Clinical Medicine,,Do not care,4 tours (~12 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,I,8/23/16 12:36,4,en,8/23/16 12:27,8/23/16 12:36,Family Medicine,,CDR,2016,,CONUS Operational,,2-4 months,,1,1,1,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Northeast,National Capital Region,Europe,Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Operational Medicine,,No,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,I,8/23/16 12:38,4,en,8/23/16 12:31,8/23/16 12:38,Family Medicine,,LCDR,2016,,CONUS MTF,,< 1 month,,4,4,3,1st choice,Southern California,Northeast,National Capital Region,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Europe,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Academic Medicine,,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,I,8/23/16 13:18,4,en,8/23/16 12:33,8/23/16 13:18,Family Medicine,,CDR,2015,,CONUS Operational,,< 1 month,,3,3,2,3rd choice,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,"Southeast (North Carolina, Florida)",Southern California,National Capital Region,Operational Medicine,,Yes,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jul-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1201,I,9/12/16 11:38,4,en,9/12/16 11:32,9/12/16 11:38,Aviation Medicine (Flight Surgery GMO),,LT,2014,,CONUS Operational,,< 1 month,,1,2,4,2nd choice,Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Resign/Retire,,Do not care,3 tours (~9 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,I,9/12/16 16:35,4,en,9/12/16 16:15,9/12/16 16:35,Aviation Medicine (Flight Surgery GMO),,LT,2015,,CONUS Operational,,< 1 month,,1,2,1,4th choice,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,Pacific Northwest,"Southeast (North Carolina, Florida)",Middle East or Africa,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Clinical Medicine,,No,Other,Other,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,I,8/23/16 12:51,4,en,8/23/16 12:38,8/23/16 12:51,Family Medicine,,LCDR,2015,,CONUS MTF,,2-4 months,,2,3,2,3rd choice,Southern California,Pacific Northwest,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)",Northeast,Europe,National Capital Region,Middle East or Africa,Clinical Medicine,,Yes,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,I,8/23/16 12:58,4,en,8/23/16 12:39,8/23/16 12:58,Family Medicine,,CAPT or Flag,2016,,Non-Operational/Non-Clinical,Service HQ,2-4 months,,5,5,1,1st choice,Europe,"Southeast (North Carolina, Florida)",Northeast,,,,,,,Executive Medicine,,Yes,1 tour (~3 years),Yes,Other,Other,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,I,,2,en,8/23/16 12:42,8/23/16 12:53,Family Medicine,,CDR,2014,,Non-Operational/Non-Clinical,,Other,I don't recall,3,4,,2nd choice,National Capital Region,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,Northeast,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Undecided,,No,Other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,I,8/23/16 13:29,4,en,8/23/16 12:44,8/23/16 13:29,Family Medicine,,LCDR,2014,,CONUS Operational,,2-4 months,,2,2,2,2nd choice,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,Pacific Northwest,Northeast,Middle East or Africa,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Mixed,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,I,,2,en,8/23/16 12:52,8/23/16 12:54,Pathology,,CAPT or Flag,2015,,CONUS MTF,,2-4 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,I,9/12/16 19:18,4,en,9/12/16 19:01,9/12/16 19:18,Aviation Medicine (Flight Surgery GMO),,LT,2016,,CONUS Operational,,< 1 month,,1,1,,> 4th choice,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,"Southeast (North Carolina, Florida)",Pacific Northwest,Middle East or Africa,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Clinical Medicine,,Yes,2 tours (~6 years),Other,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,I,8/23/16 13:01,4,en,8/23/16 12:53,8/23/16 13:01,Family Medicine,,CAPT or Flag,2016,,CONUS MTF,,2-4 months,,4,5,5,1st choice,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Europe,Northeast,Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Resign/Retire,,Yes,4 tours (~12 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,I,8/23/16 13:10,4,en,8/23/16 12:53,8/23/16 13:10,Pathology,,CDR,2016,,CONUS MTF,,2-4 months,,4,5,3,1st choice,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Europe,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Mixed,,Do not care,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,I,,3,en,8/23/16 12:59,8/23/16 13:06,Infectious Disease (IM),,CAPT or Flag,2015,,OCONUS Operational,,2-4 months,,3,3,3,2nd choice,Southern California,Northeast,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Europe,National Capital Region,Middle East or Africa,Research,,Do not care,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,I,8/23/16 13:08,4,en,8/23/16 12:59,8/23/16 13:08,Radiology,,CDR,2015,,CONUS MTF,,2-4 months,,4,4,5,1st choice,National Capital Region,Northeast,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,Mixed,,Yes,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,I,,1,en,8/23/16 12:59,8/23/16 13:00,Family Medicine,,LCDR,2015,,CONUS MTF,,< 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,I,8/23/16 13:17,4,en,8/23/16 13:06,8/23/16 13:17,Pathology,,CDR,2015,,CONUS MTF,,< 1 month,,5,5,1,1st choice,Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Northeast,National Capital Region,Middle East or Africa,Resign/Retire,,No,4 tours (~12 years),Other,Status Quo: Detailer and Specialty Leader decide,Other,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,I,8/23/16 13:29,4,en,8/23/16 13:06,8/23/16 13:29,Family Medicine,,CDR,2016,,OCONUS Operational,,< 1 month,,2,1,1,Other,National Capital Region,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Northeast,Middle East or Africa,"Southeast (North Carolina, Florida)",Executive Medicine,,No,Other,Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1253,I,9/12/16 22:09,4,en,9/12/16 22:05,9/12/16 22:09,Aviation Medicine (Flight Surgery GMO),,LT,2015,,CONUS Operational,,2-4 months,,2,4,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",,,,,,,Clinical Medicine,,Do not care,2 tours (~6 years),No,Something similar to the National Residency Match Program,Mar-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,I,8/23/16 13:16,4,en,8/23/16 13:09,8/23/16 13:16,Pathology,,LCDR,2014,,CONUS MTF,,2-4 months,,1,1,3,Other,Europe,National Capital Region,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Northeast,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Academic Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,I,8/23/16 13:24,4,en,8/23/16 13:10,8/23/16 13:24,Pathology,,LCDR,2015,,CONUS MTF,,2-4 months,,5,5,5,1st choice,Europe,Southern California,Pacific Northwest,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Northeast,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Undecided,,Other,Other,No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,I,8/23/16 13:37,4,en,8/23/16 13:10,8/23/16 13:37,Pathology,,CDR,2014,,CONUS MTF,,2-4 months,,1,1,1,Other,Europe,Pacific Northwest,Northeast,Middle East or Africa,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Southern California,National Capital Region,Resign/Retire,,No,1 tour (~3 years),Yes,Other,Other,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,I,8/23/16 13:19,4,en,8/23/16 13:11,8/23/16 13:19,Radiology,,LCDR,2015,,CONUS MTF,,> 4 months,,5,5,2,1st choice,Southern California,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",,,,,,,Clinical Medicine,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,I,8/23/16 13:20,4,en,8/23/16 13:11,8/23/16 13:20,Family Medicine,,LT,2016,,OCONUS Operational,,2-4 months,,2,3,,Other,"Pacific (Hawaii, Guam, Japan)",Europe,Pacific Northwest,Southern California,National Capital Region,Northeast,Middle East or Africa,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Mixed,,Do not care,2 tours (~6 years),Yes,Other,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,I,8/23/16 13:18,4,en,8/23/16 13:13,8/23/16 13:18,,,,2014,,Non-Operational/Non-Clinical,,< 1 month,,3,4,2,2nd choice,Europe,"Southeast (North Carolina, Florida)",Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Northeast,Middle East or Africa,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Southern California,Mixed,,No,1 tour (~3 years),Yes,,Oct-16,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,I,8/23/16 13:24,4,en,8/23/16 13:15,8/23/16 13:24,Pathology,,LCDR,2014,,CONUS MTF,,2-4 months,,4,5,5,1st choice,"Southeast (North Carolina, Florida)",Northeast,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Europe,Southern California,Middle East or Africa,Undecided,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,I,8/23/16 13:26,4,en,8/23/16 13:15,8/23/16 13:26,Pathology,,CDR,2015,,CONUS MTF,,2-4 months,,2,4,5,1st choice,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Europe,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Southern California,Middle East or Africa,Clinical Medicine,,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
