response_id,primary_specialty,officer_rank,year_executed_order,billet_current,order_lag_in_months,transparency_rank,satistfaction_rank,favoritism_rank,assignment_current,geographic_preference,career_path,doctor_as_detailer,homestead_length_in_years,homestead_problem,match_desirability,match_month,assignment_preference,officer_rank_preference
265,Radiology,LCDR,2016,CONUS MTF,> 4 months,4,4,3,2nd choice,"Pacific (Hawaii, Guam, Japan)",Mixed,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Jul-16,Yes,Yes
266,Pathology,CAPT or Flag,2016,CONUS MTF,2-4 months,5,4,5,1st choice,Southern California,Resign/Retire,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Sep-16,Yes,Yes
1263,Aviation Medicine (Flight Surgery GMO),LT,2014,CONUS Operational,NA,1,1,1,3rd choice,"Pacific (Hawaii, Guam, Japan)",Clinical Medicine,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Mar-17,Yes,Yes
268,Family Medicine,CAPT or Flag,2015,Other,> 4 months,3,5,2,1st choice,"Southeast (North Carolina, Florida)",Resign/Retire,No,NA,No,Something similar to the National Residency Match Program,Jan-17,No,Yes
269,Pathology,CDR,2012,CONUS MTF,2-4 months,4,4,3,1st choice,Southern California,Resign/Retire,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No
270,Pathology,CAPT or Flag,2016,CONUS MTF,NA,5,5,3,1st choice,National Capital Region,Resign/Retire,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,Yes
271,Occupational Medicine,CDR,2016,GME,2-4 months,5,5,3,1st choice,Europe,Undecided,NA,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,NA
1264,Aviation Medicine (Flight Surgery GMO),LT,2015,CONUS Operational,2-4 months,5,4,NA,2nd choice,National Capital Region,Executive Medicine,Do not care,Other,Other,Other,Dec-16,NA,NA
274,Dermatology,LT,2015,CONUS MTF,2-4 months,3,3,3,Other,National Capital Region,Resign/Retire,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Dec-16,No,No
275,Dermatology,LCDR,2016,CONUS MTF,2-4 months,4,3,4,2nd choice,Europe,Mixed,No,Other,No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
276,Pathology,LT,2013,GME,2-4 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,Pathology,CAPT or Flag,2015,CONUS MTF,2-4 months,5,5,4,1st choice,National Capital Region,Resign/Retire,Yes,Other,Other,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No
279,Family Medicine,CDR,2015,OCONUS MTF,2-4 months,4,4,5,Other,"Pacific (Hawaii, Guam, Japan)",Executive Medicine,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
280,Dermatology,LCDR,2016,CONUS MTF,2-4 months,1,3,NA,1st choice,Southern California,Clinical Medicine,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
281,Family Medicine,CDR,2016,Other,NA,5,5,5,NA,National Capital Region,Executive Medicine,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
282,Family Medicine,LCDR,2013,CONUS MTF,NA,1,1,NA,1st choice,"Pacific (Hawaii, Guam, Japan)",Executive Medicine,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
283,Dermatology,CDR,2014,CONUS MTF,2-4 months,5,5,5,1st choice,Southern California,Academic Medicine,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,NA,NA
284,Family Medicine,LCDR,2015,CONUS MTF,2-4 months,4,4,3,2nd choice,Europe,Clinical Medicine,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Oct-16,Yes,Yes
285,General Surgery,LCDR,2015,CONUS Operational,NA,1,1,NA,1st choice,National Capital Region,Clinical Medicine,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Dec-16,NA,NA
1265,Aviation Medicine (Flight Surgery GMO),LT,2014,CONUS MTF,2-4 months,3,4,2,2nd choice,"Tidewater Region (Portsmouth, Norfolk)",Clinical Medicine,No,1 tour (~3 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,Yes
287,Dermatology,LCDR,2016,CONUS MTF,2-4 months,5,3,4,Other,"Southeast (North Carolina, Florida)",Undecided,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,NA,Yes
288,Dermatology,CDR,2016,CONUS MTF,2-4 months,1,1,5,1st choice,Europe,Clinical Medicine,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No
289,Pathology,LCDR,2015,CONUS MTF,2-4 months,4,4,NA,1st choice,Southern California,Other,No,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
290,Radiology,LCDR,2015,CONUS MTF,2-4 months,4,4,4,3rd choice,"Southeast (North Carolina, Florida)",Clinical Medicine,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Mar-17,NA,NA
291,Dermatology,CDR,2016,CONUS MTF,2-4 months,5,4,5,1st choice,National Capital Region,Resign/Retire,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,No,Yes
292,Pathology,CAPT or Flag,2015,Non-Operational/Non-Clinical,NA,3,1,NA,Other,"Southeast (North Carolina, Florida)",Resign/Retire,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
293,Dermatology,LCDR,2016,CONUS MTF,NA,2,3,5,3rd choice,Southern California,Clinical Medicine,No,3 tours (~9 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
294,OB/GYN,CAPT or Flag,2015,CONUS Operational,2-4 months,4,5,5,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Resign/Retire,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No
295,Family Medicine,CAPT or Flag,2015,CONUS MTF,2-4 months,4,4,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Executive Medicine,Do not care,Other,No,Status Quo: Detailer and Specialty Leader decide,Nov-16,Yes,No
296,Radiology,CDR,2014,CONUS MTF,2-4 months,3,3,3,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Executive Medicine,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Jul-16,Yes,Yes
297,Pathology,CDR,2015,CONUS MTF,2-4 months,3,3,3,1st choice,Southern California,Clinical Medicine,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
298,Pathology,CAPT or Flag,2015,CONUS MTF,2-4 months,5,5,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Resign/Retire,No,Other,Other,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,NA
299,Family Medicine,LT,2015,CONUS MTF,> 4 months,5,5,NA,1st choice,"Pacific (Hawaii, Guam, Japan)",Mixed,Yes,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jul-16,Yes,No
303,Dermatology,LCDR,2014,CONUS MTF,2-4 months,3,3,4,2nd choice,Southern California,Clinical Medicine,No,2 tours (~6 years),Yes,Other,Jan-17,Yes,Yes
304,Pediatrics,CDR,2010,CONUS MTF,> 4 months,5,5,5,2nd choice,Southern California,Resign/Retire,Yes,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,Yes
305,Family Medicine,CDR,2016,CONUS Operational,NA,1,1,1,4th choice,Southern California,Clinical Medicine,Do not care,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,No
306,Psychiatry,CAPT or Flag,2015,GME,NA,5,5,5,Other,National Capital Region,Global Health Engagement,Do not care,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
307,Pathology,CDR,2016,CONUS MTF,2-4 months,4,4,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Executive Medicine,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No
308,Occupational Medicine,CDR,2015,Non-Operational/Non-Clinical,NA,5,5,5,1st choice,"Pacific (Hawaii, Guam, Japan)",Mixed,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,Yes
309,Pediatrics,LCDR,2012,CONUS MTF,NA,1,1,1,Other,Southern California,Clinical Medicine,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,No,Yes
310,Dermatology,LCDR,2014,Other,> 4 months,5,5,5,1st choice,Southern California,Undecided,No,Other,No,Something similar to the National Residency Match Program,Nov-16,NA,Yes
1269,Aviation Medicine (Flight Surgery GMO),LT,2015,CONUS Operational,NA,3,3,2,3rd choice,Southern California,Academic Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
1275,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,NA,1,1,3,Other,National Capital Region,Academic Medicine,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
313,Pediatrics,LCDR,2013,CONUS MTF,2-4 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,Pediatrics,LT,2016,GME,2-4 months,2,3,NA,1st choice,Pacific Northwest,Clinical Medicine,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Feb-17,Yes,Yes
315,Pediatrics,LT,2015,CONUS MTF,> 4 months,3,3,5,> 4th choice,National Capital Region,Mixed,No,Other,No,Other,Dec-16,Yes,Yes
316,Pediatrics,LT,2016,CONUS MTF,NA,2,3,4,1st choice,Middle East or Africa,NA,NA,NA,NA,NA,NA,NA,NA
317,Pediatrics,LT,2015,CONUS MTF,2-4 months,1,1,3,> 4th choice,Europe,Clinical Medicine,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
318,Dermatology,LCDR,2016,OCONUS MTF,2-4 months,4,5,5,2nd choice,Southern California,Undecided,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,NA,Yes
319,Family Medicine,LCDR,2015,CONUS Operational,> 4 months,5,5,NA,1st choice,Southern California,Resign/Retire,Do not care,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No
320,Family Medicine,CAPT or Flag,2015,CONUS Operational,2-4 months,4,5,4,1st choice,"Southeast (North Carolina, Florida)",Research,Other,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Mar-17,NA,NA
321,Family Medicine,LT,2015,CONUS MTF,NA,5,5,4,Other,"Pacific (Hawaii, Guam, Japan)",Clinical Medicine,No,2 tours (~6 years),Other,Other,Dec-16,NA,No
322,Pediatrics,CAPT or Flag,2016,Non-Operational/Non-Clinical,2-4 months,5,5,5,1st choice,Southern California,Resign/Retire,Yes,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
323,Pediatrics,LT,2014,CONUS MTF,> 4 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,Pediatrics,LT,2015,CONUS MTF,2-4 months,5,5,3,1st choice,Europe,Academic Medicine,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,NA,Yes
325,Pediatrics,LCDR,2015,CONUS MTF,2-4 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,Radiology,LCDR,2016,GME,2-4 months,5,4,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Academic Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes
327,Preventive Medicine,CDR,2016,Non-Operational/Non-Clinical,2-4 months,4,4,4,1st choice,National Capital Region,Global Health Engagement,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
329,Pediatrics,LCDR,2015,CONUS MTF,> 4 months,5,4,3,1st choice,Southern California,Clinical Medicine,Do not care,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No
331,Dermatology,LCDR,2015,CONUS MTF,2-4 months,3,4,1,3rd choice,Europe,Clinical Medicine,No,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
332,Pediatrics,LCDR,2014,CONUS MTF,> 4 months,5,5,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Academic Medicine,No,3 tours (~9 years),No,Other,Dec-16,Yes,Yes
333,Pediatrics,LCDR,2013,CONUS MTF,2-4 months,4,4,3,1st choice,"Southeast (North Carolina, Florida)",Resign/Retire,Yes,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No
1285,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,NA,1,1,1,Other,"Pacific (Hawaii, Guam, Japan)",Resign/Retire,Other,Other,Other,Status Quo: Detailer and Specialty Leader decide,Nov-16,Yes,NA
336,Preventive Medicine,CAPT or Flag,2005,Non-Operational/Non-Clinical,2-4 months,5,5,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Resign/Retire,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes
337,Pediatrics,LCDR,2014,CONUS MTF,2-4 months,4,5,3,1st choice,National Capital Region,Academic Medicine,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
338,Pediatrics,LCDR,2014,CONUS MTF,2-4 months,4,5,2,1st choice,Southern California,Academic Medicine,Do not care,3 tours (~9 years),No,Something similar to the National Residency Match Program,Feb-17,No,Yes
339,Pediatrics,CDR,2014,CONUS MTF,2-4 months,5,4,2,1st choice,NA,Academic Medicine,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,No,No
340,Pediatrics,CDR,2015,CONUS MTF,> 4 months,4,5,4,1st choice,NA,Mixed,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes
341,Pediatrics,LT,2016,CONUS MTF,2-4 months,4,4,1,1st choice,Southern California,Mixed,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
342,Neonatology,LCDR,2016,CONUS MTF,2-4 months,4,4,2,2nd choice,National Capital Region,Academic Medicine,No,2 tours (~6 years),Yes,Other,Jan-17,NA,No
1307,Aviation Medicine (Flight Surgery GMO),LT,2016,CONUS Operational,2-4 months,1,1,NA,Other,"Pacific (Hawaii, Guam, Japan)",Operational Medicine,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,Yes
344,Pediatrics,CDR,2015,CONUS MTF,> 4 months,1,2,1,2nd choice,Pacific Northwest,Academic Medicine,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,No
345,Pathology,CAPT or Flag,2015,OCONUS MTF,2-4 months,4,4,3,3rd choice,Europe,Resign/Retire,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No
346,Family Medicine,CAPT or Flag,2016,CONUS MTF,> 4 months,2,2,3,1st choice,Southern California,Resign/Retire,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Oct-16,Yes,No
347,Pediatrics,LT,2016,GME,2-4 months,5,3,NA,1st choice,Europe,Clinical Medicine,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
348,Pediatrics,CAPT or Flag,2015,CONUS MTF,2-4 months,4,5,3,1st choice,"Southeast (North Carolina, Florida)",Resign/Retire,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
349,Family Medicine,CDR,2015,CONUS MTF,2-4 months,5,3,3,1st choice,Europe,Academic Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
350,Neonatology,LT,2014,GME,2-4 months,5,4,5,1st choice,Southern California,Academic Medicine,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,No,Yes
351,Orthopedic Surgery,CDR,2015,CONUS MTF,2-4 months,4,4,3,2nd choice,Southern California,Clinical Medicine,Yes,4 tours (~12 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No
352,Pediatrics,CDR,2015,CONUS MTF,> 4 months,5,5,5,1st choice,Europe,Mixed,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
353,Dermatology,LCDR,2016,OCONUS MTF,> 4 months,4,5,5,1st choice,"Pacific (Hawaii, Guam, Japan)",Clinical Medicine,Yes,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
354,Orthopedic Surgery,LCDR,2015,OCONUS MTF,2-4 months,2,3,2,1st choice,National Capital Region,Academic Medicine,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,Yes,NA
355,Preventive Medicine,CAPT or Flag,2015,Non-Operational/Non-Clinical,> 4 months,2,2,1,> 4th choice,"Pacific (Hawaii, Guam, Japan)",Executive Medicine,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,Yes,Yes
356,Pediatrics,LCDR,2015,OCONUS MTF,> 4 months,2,2,3,Other,Europe,Mixed,Do not care,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,No
358,Family Medicine,LT,2015,OCONUS MTF,> 4 months,1,2,3,3rd choice,Pacific Northwest,Clinical Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
359,Pediatrics,CDR,2015,CONUS MTF,> 4 months,4,5,5,1st choice,Southern California,Academic Medicine,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
360,Orthopedic Surgery,LCDR,2016,CONUS MTF,2-4 months,5,5,4,1st choice,Southern California,Academic Medicine,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,No,Yes
361,Orthopedic Surgery,LCDR,2015,CONUS MTF,2-4 months,4,4,3,3rd choice,Southern California,Clinical Medicine,No,Other,Other,Other,Jan-17,No,Yes
62,Dermatology,CDR,2016,CONUS MTF,2-4 months,4,4,4,2nd choice,"Southeast (North Carolina, Florida)",Mixed,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
1360,Aviation Medicine (Flight Surgery GMO),LT,2016,OCONUS Operational,NA,1,1,1,3rd choice,Europe,Undecided,Yes,3 tours (~9 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
364,Family Medicine,LCDR,2014,CONUS MTF,2-4 months,NA,NA,3,1st choice,Europe,Clinical Medicine,Do not care,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Feb-17,No,Yes
365,Pediatrics,LT,2016,OCONUS MTF,2-4 months,5,4,2,1st choice,"Pacific (Hawaii, Guam, Japan)",Clinical Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
366,Family Medicine,LT,2014,CONUS MTF,2-4 months,4,3,4,1st choice,Europe,Clinical Medicine,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
1361,Aviation Medicine (Flight Surgery GMO),LT,2016,OCONUS Operational,NA,1,1,1,> 4th choice,Pacific Northwest,Other,Yes,2 tours (~6 years),Other,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
368,Family Medicine,LCDR,2015,OCONUS MTF,2-4 months,5,5,3,1st choice,"Pacific (Hawaii, Guam, Japan)",Academic Medicine,Do not care,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,No,Yes
369,Family Medicine,LT,2014,OCONUS Operational,2-4 months,1,1,1,> 4th choice,Pacific Northwest,Clinical Medicine,Do not care,2 tours (~6 years),No,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
70,Pediatrics,CAPT or Flag,2014,CONUS MTF,2-4 months,4,5,2,1st choice,Southern California,Resign/Retire,No,Other,No,Status Quo: Detailer and Specialty Leader decide,Mar-17,Yes,Yes
371,Dermatology,LCDR,2016,GME,2-4 months,5,4,5,1st choice,Europe,Undecided,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
372,Family Medicine,LT,2016,OCONUS MTF,2-4 months,2,1,4,3rd choice,"Southeast (North Carolina, Florida)",Mixed,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
1363,Aviation Medicine (Flight Surgery GMO),LT,2016,OCONUS Operational,NA,1,1,1,Other,Southern California,Undecided,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Sep-16,Yes,Yes
374,Family Medicine,LT,2015,Non-Operational/Non-Clinical,2-4 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,Family Medicine,CAPT or Flag,2016,CONUS MTF,NA,3,3,3,3rd choice,Pacific Northwest,Executive Medicine,Do not care,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
376,Orthopedic Surgery,LCDR,2013,CONUS MTF,2-4 months,4,4,3,1st choice,Southern California,Resign/Retire,No,2 tours (~6 years),Yes,Other,Dec-16,NA,Yes
377,Pediatrics,CDR,2012,CONUS MTF,2-4 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,General Medical Officer,LCDR,2014,CONUS MTF,2-4 months,3,5,3,Other,National Capital Region,Operational Medicine,Do not care,1 tour (~3 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
380,Family Medicine,LCDR,2016,OCONUS MTF,2-4 months,1,1,1,> 4th choice,Southern California,Resign/Retire,No,4 tours (~12 years),Other,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
381,Dermatology,LCDR,2014,GME,2-4 months,5,5,1,1st choice,Southern California,Clinical Medicine,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,No,Yes
382,Orthopedic Surgery,LCDR,2016,OCONUS MTF,2-4 months,1,2,1,> 4th choice,Pacific Northwest,Academic Medicine,No,2 tours (~6 years),Yes,Other,Jan-17,Yes,Yes
383,Pathology,LCDR,2015,OCONUS MTF,> 4 months,1,2,3,Other,Southern California,Resign/Retire,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No
384,Pathology,LCDR,2016,OCONUS MTF,> 4 months,5,5,5,1st choice,Pacific Northwest,Mixed,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
385,Preventive Medicine,CDR,2014,Non-Operational/Non-Clinical,2-4 months,4,4,3,1st choice,Europe,Research,Do not care,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
386,Family Medicine,LT,2016,OCONUS MTF,NA,2,2,NA,1st choice,Europe,Mixed,Other,2 tours (~6 years),Other,Other,Feb-17,Yes,NA
69,General Medical Officer,LT,2014,CONUS Operational,2-4 months,2,2,2,1st choice,Europe,Research,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
388,Preventive Medicine,CDR,2014,CONUS MTF,2-4 months,1,1,2,Other,National Capital Region,Undecided,No,1 tour (~3 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,NA,NA
389,Orthopedic Surgery,LCDR,2016,OCONUS MTF,2-4 months,1,1,2,> 4th choice,"Southeast (North Carolina, Florida)",Mixed,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
390,Family Medicine,LCDR,2015,OCONUS MTF,NA,2,1,4,Other,National Capital Region,Executive Medicine,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
391,Family Medicine,LT,2015,OCONUS Operational,NA,3,3,NA,1st choice,Southern California,Mixed,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Nov-16,Yes,Yes
392,Pediatrics,LT,2014,CONUS MTF,2-4 months,2,2,2,> 4th choice,Northeast,Resign/Retire,Do not care,Other,No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
394,Radiology,CDR,2015,CONUS MTF,> 4 months,3,4,4,1st choice,Pacific Northwest,Executive Medicine,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
395,Pathology,CAPT or Flag,2014,OCONUS MTF,NA,1,5,4,1st choice,"Pacific (Hawaii, Guam, Japan)",Clinical Medicine,No,2 tours (~6 years),Other,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,NA
396,Radiology,CAPT or Flag,2015,CONUS MTF,> 4 months,4,5,2,1st choice,Europe,Executive Medicine,No,3 tours (~9 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes
397,Radiology,CDR,2016,OCONUS MTF,2-4 months,1,1,1,> 4th choice,Southern California,Resign/Retire,No,3 tours (~9 years),No,Something similar to the National Residency Match Program,Feb-17,Yes,Yes
398,Radiology,LCDR,2016,CONUS MTF,2-4 months,4,4,NA,2nd choice,Southern California,Undecided,No,Other,Other,Other,Mar-17,Yes,NA
399,Radiology,CDR,2012,CONUS MTF,2-4 months,3,4,4,2nd choice,"Pacific (Hawaii, Guam, Japan)",Resign/Retire,Yes,3 tours (~9 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,Yes
400,Dermatology,LCDR,2015,CONUS MTF,> 4 months,2,4,5,1st choice,Southern California,Mixed,No,Other,Other,Something similar to the National Residency Match Program,Dec-16,Yes,Yes
401,Emergency Medicine,CDR,2016,OCONUS Operational,2-4 months,2,2,NA,2nd choice,Middle East or Africa,Resign/Retire,Yes,Other,Other,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No
402,Neonatology,CAPT or Flag,2016,CONUS MTF,NA,5,5,5,1st choice,Southern California,Resign/Retire,No,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Sep-16,Yes,No
403,Family Medicine,LT,2014,GME,2-4 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,Dermatology,LT,2016,CONUS MTF,> 4 months,NA,5,3,1st choice,Southern California,Clinical Medicine,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Aug-16,Yes,Yes
406,Family Medicine,LT,2014,OCONUS MTF,2-4 months,3,4,3,1st choice,"Southeast (North Carolina, Florida)",Academic Medicine,Do not care,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No
407,Radiology,LCDR,2016,Non-Operational/Non-Clinical,> 4 months,3,3,1,1st choice,Europe,Clinical Medicine,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,No
73,General Medical Officer,LCDR,2013,OCONUS MTF,NA,5,5,5,1st choice,Europe,Clinical Medicine,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Sep-16,Yes,No
111,General Medical Officer,LT,2016,Non-Operational/Non-Clinical,2-4 months,4,5,4,1st choice,Southern California,Mixed,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Mar-17,Yes,No
410,Orthopedic Surgery,LCDR,2016,CONUS MTF,2-4 months,5,5,3,1st choice,"Tidewater Region (Portsmouth, Norfolk)",Operational Medicine,Yes,3 tours (~9 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes
